date,catalog_units,active_articles,avg_article_velocity,avg_relative_velocity,positive_velocity_share_pct
2018-09-25,37413.0,9891,0.961613386613388,23.071466974615905,81.77156177156178
2018-09-26,40580.0,10108,0.7223437449737852,17.795215939494906,76.53681603242514
2018-11-20,36307.0,13667,0.6805539423249498,16.51720634656848,73.44962672776998
2018-11-19,29545.0,13641,0.5718529836176914,13.401093605346357,70.09803921568627
2020-09-18,25176.0,10496,0.08835156503844957,1.762245230725229,59.059893858984076
2018-11-21,39208.0,13712,0.29843149202613817,8.112103136052285,57.7584938961612
2018-10-07,28955.0,11255,0.23186853143220815,5.444198859619831,57.05844923188801
2018-10-08,25143.0,11288,0.19615280411812466,4.634037714750933,56.35329179084259
2018-10-09,33349.0,11343,0.16639756010046589,3.9685490418094953,54.314675278076784
2018-10-24,57165.0,12387,0.137247906040896,3.680912282646746,53.562070094988535
2018-10-23,44047.0,12327,0.1240747060831085,3.205556902938456,52.64025043249032
2018-12-17,31841.0,15110,0.22479245355369368,5.969348976960683,52.09367870084552
2018-10-22,38755.0,12293,0.11392756672419074,2.9807554375474843,51.878206188978986
2018-12-18,35788.0,15135,0.20206182613429116,5.413854473267382,51.30022060298148
2019-11-25,36719.0,24425,0.5695396930498656,11.541114930253569,50.931137228935604
2019-02-19,31497.0,18013,0.1989735443762657,4.754885140561151,50.87768809617881
2019-02-18,29414.0,17956,0.1733567344165773,3.9651730293506176,49.71975315631546
2019-09-24,35471.0,24487,0.4983342767518024,9.476668784990302,49.30245996367839
2018-12-16,29129.0,15076,0.14458626336576405,3.984094208680004,48.63789615643965
2018-10-06,32961.0,11218,0.11393811091945005,2.4278553569524743,48.21624588364435
