date,catalog_units,active_articles,avg_article_velocity,avg_relative_velocity,positive_velocity_share_pct
2019-11-20,27503.0,24432,-0.0035920726672171864,-0.0638666771911516,20.945499587118086
2019-11-21,27127.0,24448,0.03793803601678655,0.49208465046016714,22.117092922364996
2019-11-22,28942.0,24460,0.07070552056710797,1.0247312950851,23.724331694418048
2019-11-23,29921.0,24457,0.04284534135835247,0.7158394487082609,23.238331268071047
2019-11-24,24751.0,24419,0.223139032509386,4.58601744805326,39.78681209717402
2019-11-25,36719.0,24425,0.5695396930498658,11.54111493025358,50.931137228935604
2019-11-26,35732.0,24426,0.450657641492111,9.218615864858448,47.01322389420885
2019-11-27,32071.0,24449,0.2092489893997962,4.279245698483637,32.50611094999378
2019-11-28,101867.0,24509,0.17688230940044433,3.6500021182396147,24.058031088082902
2019-11-29,154728.0,24502,0.01043159078799359,0.5988939584378637,20.14504765851637
2019-11-30,62385.0,24455,-0.07966042494242682,-1.348742304816375,15.946293149890183
2019-12-01,65929.0,24517,-0.27565554812873866,-5.508023438999775,7.96240321311747
2019-12-02,58729.0,24590,-0.6355458819226824,-12.778371167697735,4.529501630950906
2019-12-03,21956.0,24627,-0.5023553380793342,-10.258998415731236,6.19924982482173
